分类: 📺央视频道, 名称: CCTV-1, 有效: 10, IPv4: 68, IPv6: 0, 最小延迟: 565 ms, 最高速率: 3.45 M/s, 平均速率: 2.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 10, IPv4: 66, IPv6: 0, 最小延迟: 61 ms, 最高速率: 91.12 M/s, 平均速率: 24.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-3, 有效: 10, IPv4: 68, IPv6: 0, 最小延迟: 67 ms, 最高速率: 84.85 M/s, 平均速率: 37.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4, 有效: 10, IPv4: 102, IPv6: 0, 最小延迟: 60 ms, 最高速率: 91.27 M/s, 平均速率: 33.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 10, IPv4: 52, IPv6: 0, 最小延迟: 72 ms, 最高速率: 84.24 M/s, 平均速率: 24.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-5, 有效: 10, IPv4: 72, IPv6: 0, 最小延迟: 60 ms, 最高速率: 94.15 M/s, 平均速率: 42.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-6, 有效: 10, IPv4: 66, IPv6: 0, 最小延迟: 74 ms, 最高速率: 73.07 M/s, 平均速率: 26.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 10, IPv4: 71, IPv6: 0, 最小延迟: 72 ms, 最高速率: 75.63 M/s, 平均速率: 37.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-8, 有效: 10, IPv4: 71, IPv6: 0, 最小延迟: 86 ms, 最高速率: 69.08 M/s, 平均速率: 15.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 45.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 10, IPv4: 66, IPv6: 0, 最小延迟: 72 ms, 最高速率: 79.83 M/s, 平均速率: 34.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 10, IPv4: 65, IPv6: 0, 最小延迟: 56 ms, 最高速率: 76.26 M/s, 平均速率: 29.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
