🇨🇳河南地方,#genre#
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=5919e6a71d21e5fb7dc1aa39c0c75c8b&wsTime=1790474635
新闻频道,http://tvcdn.stream3.hndt.com/tv/65bb6966017e100059b75a8500000000_transios/playlist.m3u8?wsSecret=124a99d7710a3d4eef4bcae50ae1eae5&wsTime=1790474635
都市频道,http://tvcdn.stream3.hndt.com/tv/65c3fbc5017e1000fde13faa00000000_transios/playlist.m3u8?wsSecret=782569dcab4eda0728f43a75126fe9d8&wsTime=1790474635
民生频道,http://tvcdn.stream3.hndt.com/tv/65bef28a017e10009c49d5f900000000_transios/playlist.m3u8?wsSecret=d431bc889577fc3b92b303c8ef13dd59&wsTime=1790474635
法治频道,http://tvcdn.stream3.hndt.com/tv/65be54a9017e1000af59fb4800000000_transios/playlist.m3u8?wsSecret=57bddb167752c1d51160e78eb3693339&wsTime=1790474635
公共频道,http://tvcdn.stream3.hndt.com/tv/65b93894017e10000ae6b07d00000000_transios/playlist.m3u8?wsSecret=7239fe5cec498ffada86d13392c52a3f&wsTime=1790474635
河南乡村频道,http://tvcdn.stream3.hndt.com/tv/65b8302b017e100019dc540f00000000_transios/playlist.m3u8?wsSecret=fdd708e2ad657e91e07ea5d01b31953d&wsTime=1790474635
电视剧频道,http://tvcdn.stream3.hndt.com/tv/65bd329b017e1000648cd2ed00000000_transios/playlist.m3u8?wsSecret=a9c420e730e02d56e0a0dc6b221a824d&wsTime=1790474635
梨园频道,https://dxtx.hntv.tv/live/lypd.m3u8?txSecret=10c771842a0be59e8b575d765173ec96&txTime=7B923E0A&wsSecret=d62adf2c1d756274d58c4c5b7659f16a&wsTime=1790474635
文物宝库,https://dxtx.hntv.tv/live/wwbk.m3u8?txSecret=317b89626134fd6bea6e129455b5ff18&txTime=7C4C635C&wsSecret=4bf6f9aabe3a13bc0d2332790b55d09b&wsTime=1790474635
